Molecule ChEMBL ID,Smiles,Standard Value
CHEMBL4109312,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1Nc1ccc(C(N)=O)cc1,1.8
CHEMBL4107284,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCOCC1F,3.5
CHEMBL3928854,C[C@@H](CF)Nc1cc(-n2ccc3cncnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,6.2
CHEMBL4107578,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(Cl)cnc32)cc1NC1CCOCC1,4.5
CHEMBL3622529,C[C@H]1CC[C@@H](Nc2nc(N3CCOCC3)[nH]c(=O)c2-c2nc3ccccc3s2)CN1,565
CHEMBL256717,COc1cc(N2CCN(C)CC2)ccc1NC(=O)c1cccc(-c2cnn(C)c2)n1,420
CHEMBL256719,O=C(Nc1ccccc1Cl)c1cccc(-c2cn[nH]c2)n1,660
CHEMBL259213,Cc1ccccc1NC(=O)c1csc(-c2cccnc2)n1,7300
CHEMBL4106687,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1Nc1ccc(-n2ccnc2)cc1,10.1
CHEMBL258004,c1cc(NC2CCNCC2)nc(-c2cnc3ccccn23)c1,35
CHEMBL3960537,NCC1CCN(c2ccc(Cl)cc2NC(=O)c2cnn3cccnc23)CC1,31
CHEMBL3960537,NCC1CCN(c2ccc(Cl)cc2NC(=O)c2cnn3cccnc23)CC1,31
CHEMBL4111625,O=c1[nH]c(N2CCC3(CCN(Cc4ccccc4)C3)C2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,27
CHEMBL4113480,O=c1[nH]c(NC2CC(F)(F)C2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,324
CHEMBL4108397,O=c1[nH]c(N2CCC(Cn3cccn3)CC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,119
CHEMBL4114343,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1N[C@H]1CC[C@](C)(O)CC1,12.6
CHEMBL4113091,CC(C)(O)[C@H](F)CNC(=O)c1cnc(N2CCc3cc(C#N)cnc32)cc1NC1CC1,10.9
CHEMBL4111872,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC12CC(C1)C2,1.8
CHEMBL3982186,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1N[C@@H]1C[C@H]1CO,5.4
CHEMBL4108900,Cn1nnnc1-c1ccc(Nc2cc(-n3ncc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)cc1,3
CHEMBL4115327,COc1cnc(N2CC[C@@H](Nc3cc(-n4ncc5cc(C#N)cnc54)ncc3C(=O)NC[C@@H](F)C(C)(C)O)C2)nc1,8.1
CHEMBL4108324,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NCCCF,5.3
CHEMBL4112958,CC(C)(CNc1cc(-n2ncc3cc(Cl)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O)OC(F)F,6.7
CHEMBL258024,Cn1cnc(CNc2cccc(-c3cnc4ccccn34)n2)c1,497
CHEMBL403358,NC(=O)c1ccc2ncc(-c3cccc(NC4CCNCC4)n3)n2c1,5
CHEMBL255867,c1cc(NC2CCNCC2)nc(-c2cnc3ccc(-c4cc[nH]n4)cn23)c1,2
CHEMBL402174,COc1ccc2ncn(-c3cccc(NC4CCNCC4)n3)c2c1,15
CHEMBL3892637,Cc1cc2cc(-c3ccc(CO)cc3)c(NC(=O)c3cnn4cccnc34)cc2[nH]1,52
CHEMBL3925304,COc1cc2ncccc2cc1NC(=O)c1csc2cnc(NCCCN)nc12,101
CHEMBL3937613,O=C(Nc1cc2ccccc2cc1OC1CCC(O)CC1)c1cnn2cccnc12,124
CHEMBL1270399,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc([C@@H](C)N3C[C@@H](C)O[C@@H](C)C3)ns2)n1,1800
CHEMBL4114411,CC(C)Nc1cc(-n2ccc3cc(CNC(=O)NCc4ccccc4)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,8.2
CHEMBL3906505,CC(C)Nc1cc(Nc2ccc3nsnc3c2)ncc1-c1nnc(C(=O)N2CC[C@@H](O)C2)s1,2.5
CHEMBL4636136,CC(C)Nc1cc(Nc2ccc3ncsc3c2)ncc1C(=O)NCCc1ccc(S(N)(=O)=O)cc1,5.7
CHEMBL4644871,CCCNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1NC(C)C,12
CHEMBL4642013,CC(C)(O)[C@H](F)CNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1NC1CC1,2.4
CHEMBL3944326,O=C(Nc1cc(Cl)ccc1OCCCCO)c1cnn2cccnc12,437
CHEMBL4107129,O=c1[nH]c(N2CCC3(CCN(S(=O)(=O)c4ccccc4)C3)C2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,23
CHEMBL4113697,O=c1[nH]c(N2CCC3(CCN(c4ccc(Cl)cc4)C3)C2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,47
CHEMBL4075955,CNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1N[C@@H](c1ccccc1)[C@H](O)CO,4.7
CHEMBL4643371,Cc1nc2ccc(Nc3cc(NC(C)C)c(C(=O)NC[C@@H](F)C(C)(C)O)cn3)cc2s1,8
CHEMBL4645407,CC(C)Nc1cc(Nc2ccc3nsnc3c2)ncc1C(=O)NC[C@@H](F)C(C)(C)O,3.5
CHEMBL3590436,Cn1cc(NC(=O)c2cnn3ccc(CCCN)nc23)c(C(N)=O)n1,150
CHEMBL3590478,Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(F)(F)F)n1,0.3
CHEMBL3590481,Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(-c2nnco2)n1,6
CHEMBL3590484,Cn1cc(NC(=O)c2cnn3ccc(NC4CCCCC4)nc23)c(C(F)(F)F)n1,480
CHEMBL3590493,Cn1cc(NC(=O)c2cnn3ccc(N4C[C@H](N)CC(F)(F)C4)nc23)c(C(F)(F)F)n1,1
CHEMBL4115525,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NCC1CCOCC1,17.4
CHEMBL4114375,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC1COC1,3.7
CHEMBL4109995,CCNc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,8.9
CHEMBL4113245,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NCC1CC1,7.5
CHEMBL4110840,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC1CCC(F)C1,2.2
CHEMBL4102532,CNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1N[C@H]1CC[C@H](O)CC1,40
CHEMBL4077863,CNC(=O)c1cnc(Nc2ccc3c(cnn3C)c2)cc1N[C@@H](c1ccccc1)[C@H](O)CO,13
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,34
CHEMBL3973967,CO[C@H]1CC[C@H](NC(=O)c2cnc(-n3ncc4cc(C#N)cnc43)cc2NC2COC2)CC1,13.4
CHEMBL4111058,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC12CCC(O)(CC1)C2,2.8
CHEMBL4110124,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC12CC3CC(CC(O)(C3)C1)C2,2.1
CHEMBL4109707,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC1CCC(N)C1,8.5
CHEMBL4089619,CC(C)Oc1cc2c(O[C@@H]3CCCNC3)nccc2cc1C(N)=O,1552
CHEMBL2022379,Cc1cn2c(-c3cnn(CC(=O)Nc4ccncc4)c3)cnc2c(Nc2cc(CN3CCCC(C)C3)ns2)n1,1142
CHEMBL3590479,Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(F)F)n1,0.2
CHEMBL3601191,CC(C)n1ccc(Nc2ncc(-c3ccc4ccccc4n3)c(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)n2)cc1=O,155
CHEMBL3601072,CN(C)c1ccc(Nc2ncc(-c3nc4cnccc4s3)c(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)n2)cc1,4
CHEMBL3952937,COc1cc2ncccc2cc1NC(=O)c1cnn2cccnc12,43
CHEMBL3919932,O=C(Nc1cc2cccnc2cc1OC1CCNC1)c1csc2cncnc12,455
CHEMBL3945929,O=C(Nc1cc(Cl)ccc1OCCC(O)CO)c1cnn2cccnc12,506
CHEMBL4111218,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CN(c2ncc(F)cn2)C1,2
CHEMBL4112197,CC(C)COC(=O)NCc1cnc2c(ccn2-c2cc(NC(C)C)c(C(=O)NC[C@@H](F)C(C)(C)O)cn2)c1,5.7
CHEMBL4110095,CC(C)Nc1cc(-n2ccc3cc(CNC(=O)CC4CCCC4)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,4.3
CHEMBL4111375,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(F)cnc32)cc1NC1COC1,10.3
CHEMBL3956976,CC(C)CCNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC1COC1,5.1
CHEMBL3980538,CC(C)(O)[C@H]1CC[C@H](Nc2cc(-n3ncc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)C1,2.8
CHEMBL3919786,CNC(=O)[C@H]1CC[C@H](NC(=O)c2cnc(-n3ncc4cc(C#N)c(N)nc43)cc2N[C@H]2CCCC[C@@H]2F)CC1,2.2
CHEMBL4107570,Cc1nnc(-c2ccc(Nc3cc(-n4ncc5cc(C#N)cnc54)ncc3C(=O)NC[C@@H](F)C(C)(C)O)cc2)s1,11.4
CHEMBL4107103,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1ccc(-n2cncn2)cc1,3.7
CHEMBL210821,Cc1cc2nc(NC(=O)c3cccc([N+](=O)[O-])c3)[nH]c2cc1C,8000
CHEMBL4108089,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC12CC3CC(CC(C3)C1)C2,12
CHEMBL4108617,COC[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC(C)C,2.8
CHEMBL3923273,CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCC(C)(C)O,6.5
CHEMBL4107087,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1cnn(C2COC2)c1,1.8
CHEMBL4106715,CCn1cc(Nc2cc(-n3ncc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)cn1,2.4
CHEMBL4108187,C[C@H](CF)Nc1cc(-n2ccc3cncnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,3.3
CHEMBL3920482,CCNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1cnn(CC(F)F)c1,3.5
CHEMBL4110422,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1ccn(CC(F)F)n1,3.1
CHEMBL4107994,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1ccn(CC(F)(F)F)n1,1.8
CHEMBL4113337,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1Nc1ccc2[nH]ncc2c1,2.5
CHEMBL3948919,CC(C)Nc1cc(-n2ncc3cc(Cl)cnc32)ncc1C(=O)N[C@H]1CC[C@H](C(C)(C)O)CC1,9
CHEMBL3900682,CNC(=O)[C@H]1CC[C@H](NC(=O)c2cnc(-n3ncc4cc(C#N)cnc43)cc2NC(C)C)CC1,5.8
CHEMBL4109233,CC(C)Nc1cc(-n2ncc3cc(C#N)c(N)nc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,1.3
CHEMBL4106665,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1N[C@H]1CC[C@H](C(N)=O)CC1,1.2
CHEMBL4112394,CCCC(=O)NCc1cnc2c(ccn2-c2cc(NC(C)C)c(C(=O)NC[C@@H](F)C(C)(C)O)cn2)c1,3.2
CHEMBL4113871,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCN(c2ccccc2)CC1,3.1
CHEMBL4109195,O=c1[nH]c(NC2CCC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,20
CHEMBL4107607,CC(F)(CO)CNc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,11.8
CHEMBL4088523,NC(=O)c1cnc(Nc2ccc3[nH]ncc3c2)cc1NCc1ccccc1,390
CHEMBL4104005,NC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1N[C@H](CO)Cc1ccccc1,19
CHEMBL4075955,CNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1N[C@@H](c1ccccc1)[C@H](O)CO,5
CHEMBL4075758,CNC(=O)c1cnc(Nc2ccc3c(c2)CC(=O)N3C)cc1N[C@@H](c1ccccc1)[C@H](O)CO,10
