Molecule ChEMBL ID,Smiles,Standard Value,pIC50
CHEMBL3977868,O=c1[nH]c(N2CCOCC2)nc(NCC(O)CO)c1-c1nc2ccccc2s1,8100,5.09
CHEMBL210821,Cc1cc2nc(NC(=O)c3cccc([N+](=O)[O-])c3)[nH]c2cc1C,8000,5.1
CHEMBL3921461,COc1cc(C(=O)Nc2ccccc2)c(Cl)cc1NC(=O)c1cnn2cccnc12,7915,5.1
CHEMBL3952668,COc1ccc(NC(C)=O)cc1NC(=O)c1cnn2cccnc12,7697,5.11
CHEMBL3987115,COc1cc(C(=O)N(C)C)ccc1NC(=O)c1cnn2cccnc12,7651,5.12
CHEMBL1938680,O=C(Nc1ccc(N2CCNCC2)cc1)c1ccc(-c2ccc(Cl)cc2)o1,7500,5.12
CHEMBL3955028,COc1ccccc1NC(=O)c1cnn2cccnc12,7337,5.13
CHEMBL260339,O=C(Nc1ccccc1)c1csc(-c2cccnc2)n1,7200,5.14
CHEMBL259213,Cc1ccccc1NC(=O)c1csc(-c2cccnc2)n1,7300,5.14
CHEMBL3958335,Cc1ccn2ncc(C(=O)Nc3cc(Cl)ccc3OC3CCC(O)CC3)c2n1,6561,5.18
CHEMBL3930843,COc1ccccc1NC(=O)c1csc2cncnc12,6559,5.18
CHEMBL209118,O=C(Nc1nc2ccccc2[nH]1)c1ccc(F)c([N+](=O)[O-])c1,6500,5.19
CHEMBL380097,CCCCn1c(NC(=O)c2ccc(OC)cc2)nc2ccccc21,6500,5.19
CHEMBL3969406,COc1c(C)cc(C)cc1NC(=O)c1cnn2cccnc12,6516,5.19
CHEMBL210682,O=C(Nc1nc2cc(Cl)ccc2[nH]1)c1cccc([N+](=O)[O-])c1,6000,5.22
CHEMBL3601086,COc1cc(Nc2ncc(-n3cccn3)c(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)n2)ccn1,6008,5.22
CHEMBL3943272,COc1cc(-c2ccccc2)c(C)cc1NC(=O)c1cnn2cccnc12,5941,5.23
CHEMBL4107784,O=C1C[C@@H](Nc2nc(N[C@@H]3CCCNC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)Cc2ccccc2N1,5900,5.23
CHEMBL3916291,CCc1ccc(OC)c(NC(=O)c2cnn3cccnc23)c1,5885,5.23
CHEMBL3961723,O=c1[nH]c(N2CCOCC2)nc(NC2CCCCC2O)c1-c1nc2ccccc2s1,5600,5.25
CHEMBL4115220,N#Cc1ccnc(-c2c(N[C@@H]3CCCNC3)nc(N3CCOCC3)[nH]c2=O)c1,5621,5.25
CHEMBL4106577,O=c1[nH]c(N2CCc3ccccc3C2)nc(N[C@@H]2CCCNC2)c1-c1nc(-c2ccc(F)cc2)cs1,5400,5.27
CHEMBL3931304,O=c1[nH]c(NC2CCC2)nc(NC[C@H](O)CO)c1-c1nc2ccccc2s1,5327,5.27
CHEMBL3986051,COc1cc(-c2ccccc2)ccc1NC(=O)c1cnn2cccnc12,5205,5.28
CHEMBL4112550,O=c1[nH]c(N[C@@H]2CCCNC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,5123,5.29
CHEMBL3957910,O=C(Nc1cc(Cl)ccc1OCCO)c1cnn2cccnc12,5000,5.3
CHEMBL4077863,CNC(=O)c1cnc(Nc2ccc3c(cnn3C)c2)cc1N[C@@H](c1ccccc1)[C@H](O)CO,5000,5.3
CHEMBL3970164,O=c1[nH]c(N2CCOCC2)nc(NCCN2CCCC2)c1-c1ccc2ccccc2n1,4900,5.31
CHEMBL3970164,O=c1[nH]c(N2CCOCC2)nc(NCCN2CCCC2)c1-c1ccc2ccccc2n1,4900,5.31
CHEMBL3953084,O=C(Nc1cc(Cl)ccc1N1CCCCC1CO)c1cnn2cccnc12,4848,5.31
CHEMBL259375,Cc1cccc(NC(=O)c2csc(-c3cccnc3)n2)c1,4800,5.32
CHEMBL4108199,O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCCNC2)c1-c1ccccn1,4759,5.32
CHEMBL4113932,O=C(Nc1cc(Cl)ccc1OC[C@H](O)CO)c1cnn2cccnc12,4664,5.33
CHEMBL3889847,O=C(Nc1cc(Cl)ccc1Oc1ccccc1)c1cnn2cccnc12,4647,5.33
CHEMBL3958889,COc1ccc(Cl)cc1NC(=O)c1csc2ccc(NCCO)nc12,4655,5.33
CHEMBL208116,O=C(Nc1nc2cc(F)ccc2[nH]1)c1cccc([N+](=O)[O-])c1,4500,5.35
CHEMBL4106474,O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCCNC2)c1-c1nc2cccc(C3CC3)c2s1,4500,5.35
CHEMBL3978235,COc1ccc(F)cc1NC(=O)c1cnn2ccccc12,4302,5.37
CHEMBL4110006,O=c1[nH]c(N[C@H]2CCCNC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,4260,5.37
CHEMBL3964473,COC(=O)COc1ccc(Cl)cc1NC(=O)c1cnn2cccnc12,4305,5.37
CHEMBL3969867,COc1ccc(Cl)cc1NC(=O)c1csc2cnc(N(C)CCO)nc12,4133,5.38
CHEMBL3622518,O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,4200,5.38
CHEMBL3940329,COc1ccc(NC(=O)c2cnn3cccnc23)c(OC)c1,4169,5.38
CHEMBL3903182,O=C(Nc1cc(Cl)ccc1Oc1cccc(O)c1)c1cnn2cccnc12,4047,5.39
CHEMBL4059465,CNC(=O)c1cnc(Nc2ccc(C#N)cc2)cc1N[C@@H](c1ccccc1)[C@H](O)CO,4100,5.39
CHEMBL209820,CCCS(=O)(=O)c1ccc2[nH]c(NC(=O)c3cccc([N+](=O)[O-])c3)nc2c1,4000,5.4
CHEMBL3962309,COc1cc(S(C)(=O)=O)ccc1NC(=O)c1ccn2cccnc12,4011,5.4
CHEMBL377125,O=C(O)CCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,4000,5.4
CHEMBL210658,O=C(Nc1nc2ccccc2[nH]1)c1cccc([N+](=O)[O-])c1,4000,5.4
CHEMBL377801,CN(C)CCCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,4000,5.4
CHEMBL3900615,NC(=O)CNc1nc(N2CCOCC2)[nH]c(=O)c1-c1nc2ccccc2s1,3900,5.41
CHEMBL3897697,CCc1ccc(Cl)cc1NC(=O)c1cnn2cccnc12,3796,5.42
CHEMBL3925792,COc1ccc(C)cc1NC(=O)c1cnn2cccnc12,3769,5.42
CHEMBL3924141,COc1ccc(/C=C/CO)cc1NC(=O)c1cnn2cccnc12,3698,5.43
CHEMBL265923,COc1ccc(NC(=O)c2csc(-c3cccnc3)n2)cc1,3700,5.43
CHEMBL3896123,CNCC1CCN(c2ccc(Cl)cc2NC(=O)c2csc3cncnc23)CC1,3545,5.45
CHEMBL4112508,O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCCNC2)c1-c1cncc(-n2cccc2)n1,3457,5.46
CHEMBL3954918,COc1ccc(Cl)cc1NC(=O)c1csc2cccnc12,3461,5.46
CHEMBL257125,O=C(Nc1ccccc1Cl)c1cccc(-c2cccnc2)n1,3400,5.47
CHEMBL3980233,CN(CCCO)c1ccc(Cl)cc1NC(=O)c1cnn2cccnc12,3395,5.47
CHEMBL4113028,O=c1[nH]c(N2CCCC2c2ccncc2)nc(N[C@@H]2CCCNC2)c1-c1ccc2ccccc2n1,3180,5.5
CHEMBL4114884,CC1(O)CN(c2nc(N[C@@H]3CCCNC3)c(-c3ccc4ccccc4n3)c(=O)[nH]2)C1,3147,5.5
CHEMBL3937953,CC(N)C1CCN(c2ccc(Cl)cc2NC(=O)c2cnn3cccnc23)C1,3083,5.51
CHEMBL209075,CCCCn1c(NC(=O)c2ccc(Cl)c(Cl)c2)nc2ccccc21,3000,5.52
CHEMBL255439,c1cc(NCC2CCNCC2)nc(-c2cnc3ccccn23)c1,3030,5.52
CHEMBL485323,CNC(=O)CN1CCC(Nc2nccc(-c3cnc4ccccn34)n2)CC1,3000,5.52
CHEMBL378693,CCN(CC)CCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,3000,5.52
CHEMBL3918335,O=C(Nc1cc(Cl)ccc1OC1CCC(O)CC1)c1cnn2cc(CCO)cnc12,3045,5.52
CHEMBL4110386,O=c1[nH]c(N[C@H]2c3ccccc3C[C@@H]2O)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,3000,5.52
CHEMBL3985891,N[C@H]1C[C@H]1Nc1nc(N2CCOCC2)[nH]c(=O)c1-c1nc2ccccc2s1,3000,5.52
CHEMBL4095514,CNC(=O)c1cnc(Nc2ccc(OC)c(F)c2)cc1N[C@@H](c1ccccc1)[C@H](O)CO,3000,5.52
CHEMBL3940896,COc1cc(C(=O)NCCO)ccc1NC(=O)c1cnn2cccnc12,2961,5.53
CHEMBL3909411,O=C(Nc1cc(Cl)ccc1CCCCO)c1cnn2cccnc12,2949,5.53
CHEMBL3931877,O=C(Nc1cccc(NCCCO)c1N1CCCCC1)c1cnn2cccnc12,2849,5.54
CHEMBL414028,O=C(Nc1ccc(N2CCOCC2)cc1)c1csc(-c2cccnc2)n1,2800,5.55
CHEMBL3976387,O=c1[nH]c(N2CCOCC2)nc(NCCN2CCCCC2)c1-c1ccc2ccccc2n1,2800,5.55
CHEMBL4076912,COc1cc2c(OC[C@H]3NC(=O)[C@@H](C)[C@H]3C)nccc2cc1C(N)=O,2836,5.55
CHEMBL258853,O=C(Nc1ccccc1Cl)c1csc(-c2cccnc2)n1,2800,5.55
CHEMBL3903890,C=Cc1ccc(OC)c(NC(=O)c2cnn3cccnc23)c1,2748,5.56
CHEMBL3904350,COc1cc(OC)c(NC(=O)c2cnn3cccnc23)cc1Cl,2738,5.56
CHEMBL3959468,O=C(Nc1cc(Cl)ccc1OCc1cccc(O)c1)c1cnn2cccnc12,2626,5.58
CHEMBL4108815,CC(C)C[C@H](CO)Nc1nc(N2CCOCC2)[nH]c(=O)c1-c1nc2ccccc2s1,2500,5.6
CHEMBL4111508,O=c1[nH]c(N[C@H]2c3ccccc3C[C@H]2O)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,2500,5.6
CHEMBL4113216,CC1(c2ccc(Cl)cc2)CN(c2nc(N[C@@H]3CCCNC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CCO1,2500,5.6
CHEMBL3913349,O=C(Nc1cc(Cl)ccc1N1CCCC(CO)C1)c1cnn2nccnc12,2465,5.61
CHEMBL3941333,O=C(Nc1cc(Cl)ccc1OCCCO)c1csc2cncnc12,2452,5.61
CHEMBL4112080,O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCCNC2)c1-c1nc(-c2ccc(C(F)(F)F)cn2)cs1,2403,5.62
CHEMBL407821,O=C(Nc1ccc(N2CCCCC2)cc1)c1csc(-c2cccnc2)n1,2400,5.62
CHEMBL3622524,O=C1NCCCC[C@H]1Nc1nc(N2CCOCC2)[nH]c(=O)c1-c1nc2ccccc2s1,2429,5.62
CHEMBL3622524,O=C1NCCCC[C@H]1Nc1nc(N2CCOCC2)[nH]c(=O)c1-c1nc2ccccc2s1,2429,5.62
CHEMBL3969172,COCCCOc1ccc(Cl)cc1NC(=O)c1cnn2cccnc12,2419,5.62
CHEMBL3927769,O=C(Nc1nc2ccccc2n1CCCO)c1csc2cncnc12,2310,5.64
CHEMBL3955381,CC(C)COc1ccc(Cl)cc1NC(=O)c1cnn2cccnc12,2280,5.64
CHEMBL3893767,O=C(Nc1cc(Cl)ccc1OC[C@@H](O)CO)c1cnn2cccnc12,2311,5.64
CHEMBL4112188,NC(=O)CNc1nc(N[C@@H]2CCCNC2)c(-c2nc3ccccc3s2)c(=O)[nH]1,2300,5.64
CHEMBL3950976,O=C(Nc1cc(Cl)ccc1Oc1ccc(O)cc1)c1cnn2cccnc12,2221,5.65
CHEMBL3957438,CC[C@@H](CO)Nc1ncc2scc(C(=O)Nc3cc(Cl)ccc3OC)c2n1,2226,5.65
CHEMBL4111135,O=c1[nH]c(NC2CCC2)nc(N[C@@H]2CC[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,2261,5.65
CHEMBL3982737,COc1ccc(Cl)cc1NC(=O)c1csc2cnc(NCCO)nc12,2237,5.65
CHEMBL4109251,O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCCNC2)c1-c1nc(-c2ccc(OC(F)(F)F)cc2)cs1,2246,5.65
CHEMBL3933884,O=C(Nc1cc(Cl)ccc1OC1CCC(O)CC1)c1cnn2cc(CO)cnc12,2253,5.65
CHEMBL3940306,COc1cc(C(N)=O)ccc1NC(=O)c1cnn2cccnc12,2256,5.65
CHEMBL3923236,CN(CCO)c1ccc(Cl)cc1NC(=O)c1cnn2cccnc12,2203,5.66
CHEMBL3976959,O=c1[nH]c(N2CCOCC2)nc(NCCN2CCC(O)CC2)c1-c1ccc2ccccc2n1,2200,5.66
CHEMBL3959696,COc1ccc(Cl)cc1NC(=O)c1csc2cncnc12,2200,5.66
CHEMBL3906814,O=c1[nH]c(N2CCOCC2)nc(NCCN2CCCC2)c1-c1nc2ccccc2s1,2200,5.66
CHEMBL3928663,COc1ccc(Br)cc1NC(=O)c1cnn2cccnc12,2144,5.67
CHEMBL4061890,COc1cc2c(OC[C@@H]3CCC(=O)N3)ccnc2cc1C(N)=O,2118,5.67
CHEMBL4104133,CC(C)Oc1cc2ccccc2cc1C(N)=O,2087,5.68
CHEMBL3601084,Cc1cc(Nc2ncc(-c3cncs3)c(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)n2)cc(C)n1,2107,5.68
CHEMBL3937694,O=C(Nc1cc(Cl)ccc1-c1cccc(O)c1)c1cnn2cccnc12,2047,5.69
CHEMBL3937006,COc1ccc(Cl)cc1NC(=O)c1csc2cnc(NCCCO)nc12,2062,5.69
CHEMBL209716,CCCCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,2000,5.7
CHEMBL210366,CCOCCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,2000,5.7
CHEMBL210822,CCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,2000,5.7
CHEMBL208166,O=C(Nc1nc2ccccc2n1CCC1CCC1)c1cccc([N+](=O)[O-])c1,2000,5.7
CHEMBL4109721,O=c1[nH]c(N2CCC2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,2000,5.7
CHEMBL4114568,O=c1[nH]c(NC2CCNC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,2000,5.7
CHEMBL4073229,CNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1N[C@H]1c2ccccc2C[C@@H]1O,2000,5.7
CHEMBL3983202,CCN1CCCC1CNc1nc(N2CCOCC2)[nH]c(=O)c1-c1nc2ccccc2s1,2000,5.7
CHEMBL482522,c1cc(NC2CCNCC2)nc(-c2cncc3ccccc23)c1,1934,5.71
CHEMBL3622518,O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,1900,5.72
CHEMBL402079,NC1CCN(c2cccc(-c3cnc4ccccn34)n2)CC1,1880,5.73
CHEMBL4115048,O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCCNC2)c1-c1nccs1,1830,5.74
CHEMBL3900669,O=c1[nH]c(N2CCOCC2)nc(NC2CCCC(O)C2)c1-c1nc2ccccc2s1,1803,5.74
CHEMBL4107335,O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2o1,1802,5.74
CHEMBL1270399,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc([C@@H](C)N3C[C@@H](C)O[C@@H](C)C3)ns2)n1,1800,5.75
CHEMBL4065667,CNC(=O)c1cnc(Nc2ccc3c(c2)CC(=O)N3)cc1N[C@@H](c1ccccc1)[C@H](O)CO,1800,5.75
CHEMBL4112749,O=c1[nH]c(NC2CCC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1cscn1,1791,5.75
CHEMBL4072239,NC(=O)c1cnc(Nc2ccccc2)cc1NCc1ccccc1,1800,5.75
CHEMBL3963673,O=c1[nH]c(N2CCOCC2)nc(NCC(O)CO)c1-c1ccc2ccccc2n1,1700,5.77
CHEMBL3946413,COCCOc1ccc(Cl)cc1NC(=O)c1cnn2cccnc12,1710,5.77
CHEMBL3622187,O=c1[nH]c(OC2CCC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,1688,5.77
CHEMBL3622187,O=c1[nH]c(OC2CCC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,1686,5.77
CHEMBL4109106,CC1(Nc2nc(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)c(-c3nc4ccccc4s3)c(=O)[nH]2)CCC1,1693,5.77
CHEMBL4115332,C[C@@H]1COCCN1c1nc(N[C@@H]2CCCNC2)c(-c2nc3ccccc3s2)c(=O)[nH]1,1691,5.77
CHEMBL4789200,CC1(C)OC(=O)c2ccc(Nc3ncc(-c4nc(-c5ccncc5)no4)c(N[C@H](CO)c4ccccc4)n3)cc21,1700,5.77
CHEMBL3946035,COc1cc(C(=O)NCCO)ccc1NC(=O)c1csc2cncnc12,1619,5.79
CHEMBL3922067,COc1ccc(Cl)cc1NC(=O)c1cnn2cccnc12,1633,5.79
CHEMBL4101382,CNC(=O)c1cnc(Nc2ccc3[nH]ncc3c2)cc1N[C@@H](c1ccccc1)[C@H](O)CO,1600,5.8
CHEMBL3977526,CN(C)CCNc1nc(N2CCOCC2)[nH]c(=O)c1-c1ccc2ccccc2n1,1600,5.8
CHEMBL3903386,O=c1[nH]c(N2CCOCC2)nc(NCC2CCCCN2)c1-c1nc2ccccc2s1,1600,5.8
CHEMBL4068127,CNC(=O)c1cnc(Nc2ccc(OC)cc2)cc1N[C@@H](c1ccccc1)[C@H](O)CO,1600,5.8
CHEMBL257366,O=C(Nc1ccccc1Cl)c1cccc(-c2ccn[nH]2)n1,1600,5.8
CHEMBL3974245,CN(C)CCNc1nc(N2CCOCC2)[nH]c(=O)c1-c1nc2ccccc2s1,1600,5.8
CHEMBL3902184,CCN1CCCC1CNc1nc(N2CCOCC2)[nH]c(=O)c1-c1ccc2ccccc2n1,1600,5.8
CHEMBL4763127,CC(C)(O)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)cc(C#N)c2n1,1600,5.8
CHEMBL4089619,CC(C)Oc1cc2c(O[C@@H]3CCCNC3)nccc2cc1C(N)=O,1552,5.81
CHEMBL3975370,Cc1ncoc1COc1ccc(Cl)cc1NC(=O)c1cnn2cccnc12,1553,5.81
CHEMBL4758114,CCc1noc(-c2cnc(Nc3ccc4c(c3)C(C)(C)OC4=O)nc2N[C@H](CO)c2ccccc2)n1,1500,5.82
CHEMBL2381601,NC(=O)c1cnc(N[C@H]2CC[C@H](N)CC2)c2nc(-c3ccc(Cl)cc3)cn12,1500,5.82
CHEMBL206991,COc1ccc2[nH]c(NC(=O)c3cccc([N+](=O)[O-])c3)nc2c1,1500,5.82
CHEMBL3927810,O=C(Nc1cc(Cl)ccc1N1CCCCCC1)c1cnn2cccnc12,1503,5.82
CHEMBL3929326,O=C(Nc1cc(Cl)ccc1OC1CCC(O)C1)c1csc2cncnc12,1521,5.82
CHEMBL4111811,Cc1cccc(-c2c(N[C@@H]3CCCNC3)nc(N3CCOCC3)[nH]c2=O)n1,1474,5.83
CHEMBL3923938,NC1CCC(Oc2ccc(Cl)cc2NC(=O)c2csc3cncnc23)CC1,1471,5.83
CHEMBL3622186,O=c1[nH]c(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c(-c2nc3ccccc3s2)c(=O)[nH]1,1487,5.83
CHEMBL3622186,O=c1[nH]c(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c(-c2nc3ccccc3s2)c(=O)[nH]1,1487,5.83
CHEMBL3951642,CC(C)(CCO)Oc1ccc(Cl)cc1NC(=O)c1csc2cncnc12,1459,5.84
CHEMBL2022373,Cc1cn2c(-c3cnn(CC(=O)Nc4cccc(F)c4F)c3)cnc2c(Nc2cc(CN3CCCCC3)ns2)n1,1423,5.85
CHEMBL4111756,CCN1CCC(c2nc(N[C@@H]3CCCNC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)CC1,1400,5.85
CHEMBL256513,NCCCNc1cccc(-c2cnc3ccccn23)n1,1300,5.89
CHEMBL4087806,CNC(=O)c1cnc(Nc2ccc(F)cc2)cc1N[C@@H](c1ccccc1)[C@H](O)CO,1300,5.89
CHEMBL4113534,CC(C)(C)c1ccc2sc(-c3c(N[C@@H]4CCCNC4)nc(N4CCOCC4)[nH]c3=O)nc2c1,1300,5.89
CHEMBL4109716,Cc1cnc(-c2c(N[C@@H]3CCCNC3)nc(N3CCOCC3)[nH]c2=O)s1,1271,5.9
CHEMBL3922728,O=C(Nc1ccccc1-c1ccccc1)c1cnn2cccnc12,1224,5.91
CHEMBL2022711,Cc1cn2c(-c3cnn(CC(=O)Nc4ccncc4F)c3)cnc2c(Nc2cc(CN3CCCC(C)C3)ns2)n1,1219,5.91
CHEMBL404514,COc1ccc(NC(=O)c2csc(-c3cccnc3)n2)c(OC)c1,1200,5.92
CHEMBL482709,c1ccn2c(-c3ccnc(OC4CCNCC4)n3)cnc2c1,1189,5.92
CHEMBL4112528,O=c1[nH]c(N[C@@H]2c3ccccc3C[C@@H]2O)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,1200,5.92
CHEMBL3908895,CN1CCCC(Nc2nc(N3CCOCC3)[nH]c(=O)c2-c2nc3ccccc3s2)C1,1200,5.92
CHEMBL3622185,CCc1nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c(-c2nc3ccccc3s2)c(=O)[nH]1,1162,5.93
CHEMBL2022379,Cc1cn2c(-c3cnn(CC(=O)Nc4ccncc4)c3)cnc2c(Nc2cc(CN3CCCC(C)C3)ns2)n1,1142,5.94
CHEMBL256734,c1ccc(Nc2cccc(-c3cnc4ccccn34)n2)cc1,1156,5.94
CHEMBL3601195,OC[C@H]1C[C@@H](Nc2cc(Nc3ccc(F)cc3)ncc2-c2nc3ccccc3s2)[C@H](O)[C@@H]1O,1140,5.94
CHEMBL258233,Cn1nccc1Nc1cccc(-c2cnc3ccccn23)n1,1134,5.95
CHEMBL4106852,O=c1[nH]c(NC2CCC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nccs1,1114,5.95
CHEMBL2381601,NC(=O)c1cnc(N[C@H]2CC[C@H](N)CC2)c2nc(-c3ccc(Cl)cc3)cn12,1100,5.96
CHEMBL2381116,COc1ccc2c(c1)C(=O)N(c1nc(C(=O)Nc3cnccc3N3CCNCC3)cs1)C2,1100,5.96
CHEMBL404472,Cc1ccc2c(c1)ncn2-c1cccc(NC2CCNCC2)n1,1085,5.96
CHEMBL3947045,Cc1ncoc1COc1ccc(Cl)cc1NC(=O)c1csc2cncnc12,1050,5.98
CHEMBL3938382,O=C(Nc1cccc(NCCO)c1N1CCCCC1)c1cnn2cccnc12,1029,5.99
CHEMBL208709,CCOC(=O)CCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,1000,6
CHEMBL408383,O=C(Nc1ccccc1OC(F)F)c1csc(-c2cccnc2)n1,1000,6
CHEMBL210354,COCCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,1000,6
CHEMBL209202,CC(C)n1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,1000,6
CHEMBL1650545,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCC(F)(F)C3)ns2)n1.Cl,1000,6
CHEMBL210774,C=CCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,1000,6
CHEMBL3622185,CCc1nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c(-c2nc3ccccc3s2)c(=O)[nH]1,972,6.01
CHEMBL3901125,CCOC(=O)c1nc(-c2cnc(Nc3ccc4ncsc4c3)cc2NC(C)C)sc1C,960.7,6.02
CHEMBL3601085,Cc1cc(Nc2ncc(-n3cccn3)c(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)n2)cc(C)n1,932,6.03
