Smiles,IC50_nM
CC(C)Nc1cc(Nc2ccc3ncsc3c2)ncc1-c1nnc(N2CCN(CCO)CC2)o1,25.4

CC(C)Nc1cc(Nc2ccc3ncsc3c2)ncc1-c1ccc2cn[nH]c2c1,812.8

O=c1[nH]c(NC2CC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,25

C[C@H]1C[C@@H](Nc2nc(N3CCOCC3)[nH]c(=O)c2-c2nc3ccccc3s2)[C@H](O)[C@@H]1O,23

O=c1[nH]c(N2CCOC(CO)C2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,43

CN(C)c1nc(N[C@@H]2CCCNC2)c(-c2nc3ccccc3s2)c(=O)[nH]1,74

CC1CCCN(c2nc(N[C@@H]3CCCNC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)C1,140

Cc1ccc2sc(-c3c(N[C@@H]4CCCNC4)nc(N4CCOCC4)[nH]c3=O)nc2c1,50

Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4O)nc23)c(C(F)(F)F)n1,21

Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CC(F)(F)CC[C@@H]4N)nc23)c(C(F)(F)F)n1,3

Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(F)(F)F)n1,0.3

O=C(Nc1ccc(N2CCOCC2)cc1)c1csc(-c2cccnc2)n1,2800

O=C(Nc1ccccc1)c1csc(-c2cccnc2)n1,7200

COc1ccc2ncc(-c3cccc(NC4CNC4)n3)n2c1,7

NCCCNc1cccc(-c2cnc3ccccn23)n1,1300

Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCC[C@@H]4N)nn23)c(Cl)n1,26

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NCC(F)(F)F,11.9

C[C@@H](CF)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,2.4

CC(C)Nc1cc(-n2ncc3cncnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,6.2

CC(C)Nc1cc(-n2ncc3cc(C#N)c(N)nc32)ncc1C(=O)N[C@H](C)C1CC1,17.3

CC(C)(O)CCNC(=O)c1cnc(-n2ccc3cc(Cl)cnc32)cc1NC1CCOCC1,3.1

CC(C)Nc1cc(-n2ccc3cc(F)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,1.6

COc1cccc(Nc2cc(-n3ccc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)c1,4.4

CC(C)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NCCc1ccc(S(N)(=O)=O)cc1,2.7

CC(C)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)N[C@H]1CC[C@H]([N+](=O)[O-])CC1,5.1

CCNc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)N[C@H]1CC[C@H](C(C)(C)O)CC1,2.5

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)Nc1cnn(C2COC2)c1,10.6

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)N[C@H]1CC[C@H](NC(=O)[C@H](C)O)CC1,6.2

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1N[C@H]1CC[C@@](C)(O)CC1,1.3

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NC1CCN(c2ncccn2)CC1,15.7

CCOCCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,2000

Cc1ccc2[nH]c(NC(=O)c3cccc([N+](=O)[O-])c3)nc2c1,800

CCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,2000

Cn1cc(NC(=O)c2cnn3ccc(N4C[C@H](N)CC(F)(F)C4)nc23)c(C(F)F)n1,0.5

Cn1cc(NC(=O)c2csc3ncc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(F)(F)F)n1,20

Cn1cc(NC(=O)c2ccc3ccc(N[C@@H]4CCCC[C@@H]4N)nn23)c(C(F)F)n1,25

O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCC[C@@H](O)C2)c1-c1nc2ccccc2s1,454

Cc1nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c(-c2nc3ccccc3s2)c(=O)[nH]1,635

O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,1900

CC(C)(O)c1cccc(Nc2cc(-n3ccc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)c1,1.6

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCc1c[nH]cn1,4.7

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCC(F)C1(O)COC1,5.3

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCc1ccc(S(N)(=O)=O)cc1,3.1

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCc1ccncc1,2.5

CC(C)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)N[C@H]1CC[C@](F)(c2ccnn2C)CC1,3.3

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCC(=O)N1CCOCC1,14.4

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCC1(O)CCOCC1,6.1

CC(=O)Nc1ccc(CCNC(=O)c2cnc(-n3ncc4cc(C#N)cnc43)cc2NC(C)C)cc1,1.6

NC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1NCc1cc(F)ccc1F,180

COC(=O)c1ccc2[nH]c(NC(=O)c3cccc([N+](=O)[O-])c3)nc2c1,25000

O=C(Nc1nc2ccccc2n1CCC1CCC1)c1cccc([N+](=O)[O-])c1,2000

CCOC(=O)CCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,1000

CC1(C)OC(=O)c2ccc(Nc3ncc(C(N)=O)c(N[C@H](CO)c4ccccc4)n3)cc21,160

CCOC(=O)Cn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,400

CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,6.19

COC(=O)N1CCN([C@H]2CC[C@H](Nc3ncnc4ccc(C)nc34)CC2)CC1,279

N#Cc1cccc(C(=O)Nc2nc3ccccc3[nH]2)c1,13600

O=C(Nc1nc2ccccc2[nH]1)c1ccc(F)c([N+](=O)[O-])c1,6500

Cc1ccc(C(=O)Nc2nc3ccccc3[nH]2)cc1[N+](=O)[O-],12000

CCCS(=O)(=O)c1ccc2[nH]c(NC(=O)c3cccc([N+](=O)[O-])c3)nc2c1,4000

O=c1[nH]c(N2CCC(n3ccnn3)CC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,11.8

O=c1[nH]c(N2CCC(c3cccnc3)CC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,13.3

O=c1[nH]c(N2CCOCC2)nc(NCC(O)CO)c1-c1ccc2ccccc2n1,1700

O=C1C[C@H](Nc2nc(N[C@@H]3CCCNC3)c(-c3nc4ccccc4s3)c(=O)[nH]2)Cc2ccccc2N1,8900

COc1ccc(NC(=O)c2csc(-c3cccnc3)n2)c(OC)c1,1200

O=C(Nc1ccccc1OC(F)F)c1csc(-c2cccnc2)n1,1000

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NCC(C)(C)N1CCOCC1,10.7

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1N[C@H]1CC[C@H](C(C)(C)O)CC1,4

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(F)cnc32)cc1NC1CCC(F)C1,4

CNC(=O)[C@H]1CC[C@H](NC(=O)c2cnc(-n3ncc4cc(C#N)c(N)nc43)cc2N[C@@H]2CCCC[C@H]2F)CC1,3.3

CC[C@H](C)Nc1cc(-n2ncc3cc(Cl)c(N)nc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,1.9

COC1CCC(O)(CCNC(=O)c2cnc(-n3ncc4cc(C#N)cnc43)cc2NC(C)C)CC1,3.5

CC(C)Nc1cc(-n2cnc3cncnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,15.1

COC(C)(C)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC(C)C,1.6

CC(F)[C@H](C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,3.9

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCN1CCS(=O)(=O)CC1,8.1

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCC1(O)CCC(F)(F)CC1,6.5

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1Nc1ccc(C(N)=O)cc1,1.8

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCOCC1F,3.5

C[C@@H](CF)Nc1cc(-n2ccc3cncnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,6.2

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(Cl)cnc32)cc1NC1CCOCC1,4.5

C[C@H]1CC[C@@H](Nc2nc(N3CCOCC3)[nH]c(=O)c2-c2nc3ccccc3s2)CN1,565

COc1cc(N2CCN(C)CC2)ccc1NC(=O)c1cccc(-c2cnn(C)c2)n1,420

O=C(Nc1ccccc1Cl)c1cccc(-c2cn[nH]c2)n1,660

Cc1ccccc1NC(=O)c1csc(-c2cccnc2)n1,7300

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1Nc1ccc(-n2ccnc2)cc1,10.1

c1cc(NC2CCNCC2)nc(-c2cnc3ccccn23)c1,35

NCC1CCN(c2ccc(Cl)cc2NC(=O)c2cnn3cccnc23)CC1,31

NCC1CCN(c2ccc(Cl)cc2NC(=O)c2cnn3cccnc23)CC1,31

O=c1[nH]c(N2CCC3(CCN(Cc4ccccc4)C3)C2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,27

O=c1[nH]c(NC2CC(F)(F)C2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,324

O=c1[nH]c(N2CCC(Cn3cccn3)CC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,119

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1N[C@H]1CC[C@](C)(O)CC1,12.6

CC(C)(O)[C@H](F)CNC(=O)c1cnc(N2CCc3cc(C#N)cnc32)cc1NC1CC1,10.9

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC12CC(C1)C2,1.8

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1N[C@@H]1C[C@H]1CO,5.4

Cn1nnnc1-c1ccc(Nc2cc(-n3ncc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)cc1,3

COc1cnc(N2CC[C@@H](Nc3cc(-n4ncc5cc(C#N)cnc54)ncc3C(=O)NC[C@@H](F)C(C)(C)O)C2)nc1,8.1

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NCCCF,5.3

CC(C)(CNc1cc(-n2ncc3cc(Cl)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O)OC(F)F,6.7

Cn1cnc(CNc2cccc(-c3cnc4ccccn34)n2)c1,497

NC(=O)c1ccc2ncc(-c3cccc(NC4CCNCC4)n3)n2c1,5

c1cc(NC2CCNCC2)nc(-c2cnc3ccc(-c4cc[nH]n4)cn23)c1,2

COc1ccc2ncn(-c3cccc(NC4CCNCC4)n3)c2c1,15

Cc1cc2cc(-c3ccc(CO)cc3)c(NC(=O)c3cnn4cccnc34)cc2[nH]1,52

COc1cc2ncccc2cc1NC(=O)c1csc2cnc(NCCCN)nc12,101

O=C(Nc1cc2ccccc2cc1OC1CCC(O)CC1)c1cnn2cccnc12,124

Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc([C@@H](C)N3C[C@@H](C)O[C@@H](C)C3)ns2)n1,1800

CC(C)Nc1cc(-n2ccc3cc(CNC(=O)NCc4ccccc4)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,8.2

CC(C)Nc1cc(Nc2ccc3nsnc3c2)ncc1-c1nnc(C(=O)N2CC[C@@H](O)C2)s1,2.5

CC(C)Nc1cc(Nc2ccc3ncsc3c2)ncc1C(=O)NCCc1ccc(S(N)(=O)=O)cc1,5.7

CCCNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1NC(C)C,12

CC(C)(O)[C@H](F)CNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1NC1CC1,2.4

O=C(Nc1cc(Cl)ccc1OCCCCO)c1cnn2cccnc12,437

O=c1[nH]c(N2CCC3(CCN(S(=O)(=O)c4ccccc4)C3)C2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,23

O=c1[nH]c(N2CCC3(CCN(c4ccc(Cl)cc4)C3)C2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,47

CNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1N[C@@H](c1ccccc1)[C@H](O)CO,4.7

Cc1nc2ccc(Nc3cc(NC(C)C)c(C(=O)NC[C@@H](F)C(C)(C)O)cn3)cc2s1,8

CC(C)Nc1cc(Nc2ccc3nsnc3c2)ncc1C(=O)NC[C@@H](F)C(C)(C)O,3.5

Cn1cc(NC(=O)c2cnn3ccc(CCCN)nc23)c(C(N)=O)n1,150

Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(F)(F)F)n1,0.3

Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(-c2nnco2)n1,6

Cn1cc(NC(=O)c2cnn3ccc(NC4CCCCC4)nc23)c(C(F)(F)F)n1,480

Cn1cc(NC(=O)c2cnn3ccc(N4C[C@H](N)CC(F)(F)C4)nc23)c(C(F)(F)F)n1,1

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NCC1CCOCC1,17.4

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC1COC1,3.7

CCNc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,8.9

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NCC1CC1,7.5

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC1CCC(F)C1,2.2

CNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1N[C@H]1CC[C@H](O)CC1,40

CNC(=O)c1cnc(Nc2ccc3c(cnn3C)c2)cc1N[C@@H](c1ccccc1)[C@H](O)CO,13

CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,34

CO[C@H]1CC[C@H](NC(=O)c2cnc(-n3ncc4cc(C#N)cnc43)cc2NC2COC2)CC1,13.4

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC12CCC(O)(CC1)C2,2.8

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC12CC3CC(CC(O)(C3)C1)C2,2.1

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC1CCC(N)C1,8.5

CC(C)Oc1cc2c(O[C@@H]3CCCNC3)nccc2cc1C(N)=O,1552

Cc1cn2c(-c3cnn(CC(=O)Nc4ccncc4)c3)cnc2c(Nc2cc(CN3CCCC(C)C3)ns2)n1,1142

Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(F)F)n1,0.2

CC(C)n1ccc(Nc2ncc(-c3ccc4ccccc4n3)c(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)n2)cc1=O,155

CN(C)c1ccc(Nc2ncc(-c3nc4cnccc4s3)c(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)n2)cc1,4

COc1cc2ncccc2cc1NC(=O)c1cnn2cccnc12,43

O=C(Nc1cc2cccnc2cc1OC1CCNC1)c1csc2cncnc12,455

O=C(Nc1cc(Cl)ccc1OCCC(O)CO)c1cnn2cccnc12,506

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CN(c2ncc(F)cn2)C1,2

CC(C)COC(=O)NCc1cnc2c(ccn2-c2cc(NC(C)C)c(C(=O)NC[C@@H](F)C(C)(C)O)cn2)c1,5.7

CC(C)Nc1cc(-n2ccc3cc(CNC(=O)CC4CCCC4)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,4.3

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(F)cnc32)cc1NC1COC1,10.3

CC(C)CCNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1NC1COC1,5.1

CC(C)(O)[C@H]1CC[C@H](Nc2cc(-n3ncc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)C1,2.8

CNC(=O)[C@H]1CC[C@H](NC(=O)c2cnc(-n3ncc4cc(C#N)c(N)nc43)cc2N[C@H]2CCCC[C@@H]2F)CC1,2.2

Cc1nnc(-c2ccc(Nc3cc(-n4ncc5cc(C#N)cnc54)ncc3C(=O)NC[C@@H](F)C(C)(C)O)cc2)s1,11.4

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1ccc(-n2cncn2)cc1,3.7

Cc1cc2nc(NC(=O)c3cccc([N+](=O)[O-])c3)[nH]c2cc1C,8000

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC12CC3CC(CC(C3)C1)C2,12

COC[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC(C)C,2.8

CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCCC(C)(C)O,6.5

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1cnn(C2COC2)c1,1.8

CCn1cc(Nc2cc(-n3ncc4cc(C#N)cnc43)ncc2C(=O)NC[C@@H](F)C(C)(C)O)cn1,2.4

C[C@H](CF)Nc1cc(-n2ccc3cncnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,3.3

CCNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1cnn(CC(F)F)c1,3.5

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1ccn(CC(F)F)n1,3.1

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1ccn(CC(F)(F)F)n1,1.8

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1Nc1ccc2[nH]ncc2c1,2.5

CC(C)Nc1cc(-n2ncc3cc(Cl)cnc32)ncc1C(=O)N[C@H]1CC[C@H](C(C)(C)O)CC1,9

CNC(=O)[C@H]1CC[C@H](NC(=O)c2cnc(-n3ncc4cc(C#N)cnc43)cc2NC(C)C)CC1,5.8

CC(C)Nc1cc(-n2ncc3cc(C#N)c(N)nc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,1.3

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1N[C@H]1CC[C@H](C(N)=O)CC1,1.2

CCCC(=O)NCc1cnc2c(ccn2-c2cc(NC(C)C)c(C(=O)NC[C@@H](F)C(C)(C)O)cn2)c1,3.2

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCN(c2ccccc2)CC1,3.1

O=c1[nH]c(NC2CCC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,20

CC(F)(CO)CNc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,11.8

NC(=O)c1cnc(Nc2ccc3[nH]ncc3c2)cc1NCc1ccccc1,390

NC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1N[C@H](CO)Cc1ccccc1,19

CNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1N[C@@H](c1ccccc1)[C@H](O)CO,5

CNC(=O)c1cnc(Nc2ccc3c(c2)CC(=O)N3C)cc1N[C@@H](c1ccccc1)[C@H](O)CO,10

c1cc(NC2CCNCC2)nc(-c2cncc3ccccc23)c1,1934

CCN(CC)C(=O)NCc1cnc2c(ccn2-c2cc(NC(C)C)c(C(=O)NC[C@@H](F)C(C)(C)O)cn2)c1,13.2

COc1cc2c(OC[C@H]3NC(=O)[C@H](F)[C@H]3C)nccc2cc1C(N)=O,1.9

COc1cc2c(OC[C@H]3NC(=O)C[C@H]3C)nccc2cc1C(N)=O,52.3

CCC[C@@H]1CC(=O)N[C@@H]1COc1nccc2cc(C(N)=O)c(OC)cc12,28.4

Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCC[C@@H]4N)nn23)c(C(F)F)n1,0.5

Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCC[C@@H]4N)nn23)c(C(F)F)n1,10

Cc1cc(Nc2ncc(-c3cscn3)c(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)n2)cc(C)n1,852

O=c1[nH]c(NC2CCC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2cnccc2s1,2.5

N#Cc1cc2cnn(-c3cc(NC4COC4)c(C(=O)NCCC4CC4)cn3)c2nc1N,6.1

COc1cnc(NC(=O)c2cnc(-n3ncc4cc(C#N)cnc43)cc2NC(C)C)cn1,20.1

CC(O)CCNc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,9.1

CC(C)C(O)CNc1cc(-n2ncc3cc(Cl)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,17.5

CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(F)cnc32)cc1NC1CCC(F)C1,3.4

Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C#N)n1,0.8

CC(C)Oc1cc2c(O[C@@H]3CCCNC3)ccnc2cc1C(N)=O,146

CC(C)Oc1cc2c(OC[C@@H]3CCC(=O)N3)nccc2cc1C(N)=O,4.6

COc1cc2c(OC[C@@H]3CCC(=O)N3)cccc2cc1C(N)=O,37.1

COc1cc2c(OC[C@H]3NC(=O)[C@H](C)[C@H]3C)nccc2cc1C(N)=O,87.1

COc1cc2c(OC[C@H]3NC(=O)[C@@H]4C[C@H]34)nccc2cc1C(N)=O,115

COc1cc2c(OC[C@H]3NC(=O)[C@@H]4[C@@H](C)[C@@H]43)nccc2cc1C(N)=O,52.1

Cc1cc(Nc2nc(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)c(-c3nc4ccccc4s3)c(=O)[nH]2)cc(C)n1,100

O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCCCNC2)c1-c1nc2ccccc2s1,79

O=c1[nH]c(N2CCC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,67

O=c1[nH]c(NC2CC2)nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c1-c1nc2ccccc2s1,25

O=c1[nH]c(N2CCOCC2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,19

CN(C)c1nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c(-c2nc3ccccc3s2)c(=O)[nH]1,490

CSc1nc(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)c(-c2nc3ccccc3s2)c(=O)[nH]1,352

